team_id,weighted_attack,weighted_deffense,names,colours
230,0.9075102470588234,1.4369069852941176,Estoril,greens
224,0.9939922911764705,1.0258276147058822,Guimaraes,greys
226,0.9975276382352941,1.2002198029411764,Rio Ave,oranges
211,1.8693155176470586,0.5825652735294118,Benfica,reds
216,0.9558122147058823,1.3335006705882353,Portimonense,yelloworangebrown
762,1.1017140176470588,1.1704004647058823,GIL Vicente,reds
217,1.6265862970588234,0.9200017617647058,SC Braga,reds
227,0.9055697235294117,1.4289326235294117,Santa Clara,browns
223,1.1547275970588236,1.377696994117647,Chaves,blues
212,1.6824203999999998,0.7043427058823529,FC Porto,blues
810,0.9762041382352941,1.1881114676470588,Vizela,greens
228,1.6706621735294116,0.7605352735294117,Sporting CP,greens
214,1.125267422222222,1.4214944583333333,Maritimo,greens
242,1.0863977705882353,1.3188071676470587,Famalicao,blues
222,1.011815544117647,1.1842043529411763,Boavista,greens
234,0.8703241470588234,1.3491187205882351,Pacos Ferreira,greens
4716,0.9304078470588235,1.1946824264705882,Casa Pia,blues
240,0.9473137352941177,1.1833668588235293,Arouca,yelloworangebrown
